Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
30 Dec 21,30 Dec 21,Coma Cluster from the Legacy Imaging Survey,51947352,Throw Pillow,United States,United States,OH,to be paid,1,33.67,33.67,0.00
30 Dec 21, 3 Jan 22,KP Weather Camera,51947352,Magnet,United States,United States,OH,to be paid,1,6.87,6.87,0.00
30 Dec 21,30 Dec 21,DESI plane,51947352,Lightweight Sweatshirt,United States,United States,OH,to be paid,1,31.74,31.74,0.00
23 Dec 21,27 Dec 21,DESI plane,51792461,Premium T-Shirt,United States,United States,CO,to be paid,1,25.12,25.12,0.00
20 Dec 21,28 Dec 21,DESI plane,51735661,Fitted Mask,United States,United States,CO,to be paid,5,69.85,69.85,0.00
20 Dec 21,21 Dec 21,DESI plane,51735501,Magnet,United States,United States,CO,to be paid,2,11.14,11.14,0.00
20 Dec 21,23 Dec 21,M31 Focal Plane,51735501,Transparent Sticker,United States,United States,CO,to be paid,5,6.95,6.95,0.00
20 Dec 21,22 Dec 21,Cosmic Cartography,51735501,Poster,United States,United States,CO,to be paid,1,17.75,17.75,0.00
20 Dec 21,23 Dec 21,DESI plane,51735501,Transparent Sticker,United States,United States,CO,to be paid,30,41.70,41.70,0.00
16 Dec 21,18 Dec 21,Desi Coyote,51595594,Transparent Sticker,United States,United States,NJ,to be paid,2,5.66,5.66,0.00
13 Dec 21,17 Dec 21,DESI Logo with text,51463298,Premium T-Shirt,United States,United States,PA,to be paid,1,25.43,25.43,0.00
13 Dec 21,28 Dec 21,DESI plane,51463168,Premium T-Shirt,United States,United States,PA,to be paid,1,25.43,25.43,0.00
12 Dec 21,15 Dec 21,DESI plane,51411015,Mouse Pad,United States,United States,VA,to be paid,1,16.73,16.73,0.00
11 Dec 21,13 Dec 21,DESI Logo,51347387,Magnet,United States,United States,IL,to be paid,1,6.51,6.51,0.00
11 Dec 21,15 Dec 21,Cosmic Cartography,51347387,Greeting Card,United States,United States,IL,to be paid,1,2.17,2.17,0.00
11 Dec 21,13 Dec 21,DESI plane,51347387,Mug,United States,United States,IL,to be paid,2,23.44,23.44,0.00
11 Dec 21,12 Dec 21,DESI plane,51347387,Sticker,United States,United States,IL,to be paid,2,3.50,3.50,0.00
11 Dec 21,12 Dec 21,Desi Coyote - Canis Major,51347387,Sticker,United States,United States,IL,to be paid,2,3.50,3.50,0.00
11 Dec 21,13 Dec 21,DESI Logo,51347387,Mug,United States,United States,IL,to be paid,2,23.44,23.44,0.00
 7 Dec 21, 8 Dec 21,Cosmic Cartography,51065266,Mask,United States,United States,OH,to be paid,1,7.14,7.14,0.00
 7 Dec 21,14 Dec 21,DESI plane,51065266,Fitted Mask,United States,United States,OH,to be paid,1,14.30,14.30,0.00
 6 Dec 21, 8 Dec 21,DESI plane,51054609,Spiral Notebook,United States,United States,OH,to be paid,1,8.58,8.58,0.00
 6 Dec 21, 8 Dec 21,M31 Focal Plane,51054609,Transparent Sticker,United States,United States,OH,to be paid,3,4.29,4.29,0.00
 6 Dec 21, 8 Dec 21,Desi Coyote - Canis Major,51054609,Transparent Sticker,United States,United States,OH,to be paid,4,5.72,5.72,0.00
 6 Dec 21, 8 Dec 21,DESI Logo with text,51054609,Transparent Sticker,United States,United States,OH,to be paid,2,2.86,2.86,0.00
 6 Dec 21, 8 Dec 21,KP Weather Camera,51054609,Transparent Sticker,United States,United States,OH,to be paid,2,2.86,2.86,0.00
 6 Dec 21, 8 Dec 21,Desi Coyote,51054609,Transparent Sticker,United States,United States,OH,to be paid,2,2.86,2.86,0.00
 6 Dec 21, 8 Dec 21,DESI plane,51054609,Transparent Sticker,United States,United States,OH,to be paid,2,2.86,2.86,0.00
 6 Dec 21, 8 Dec 21,DESI Logo,51054609,Transparent Sticker,United States,United States,OH,to be paid,2,2.86,2.86,0.00
 6 Dec 21, 9 Dec 21,DESI plane,51035183,Premium T-Shirt,United States,United States,CA,to be paid,1,26.06,26.06,0.00
 6 Dec 21,14 Dec 21,DESI plane,51035183,Premium T-Shirt,United States,United States,CA,to be paid,1,26.06,26.06,0.00
 6 Dec 21, 8 Dec 21,DESI Logo with text,51035183,Baseball Cap,United States,United States,CA,to be paid,1,21.21,21.21,0.00
 6 Dec 21,13 Dec 21,Cosmic Cartography,51035183,Poster,United States,United States,CA,to be paid,1,20.69,20.69,0.00
 6 Dec 21,11 Dec 21,DESI plane,51035000,Premium T-Shirt,United Kingdom,United Kingdom,FIFE,to be paid,1,22.79,22.79,0.00
 6 Dec 21, 9 Dec 21,Coma Cluster from the Legacy Imaging Survey,51035000,Mug,United Kingdom,United Kingdom,FIFE,to be paid,1,9.16,9.16,0.00
 6 Dec 21, 7 Dec 21,M31 Focal Plane,51035000,Sticker,United Kingdom,United Kingdom,FIFE,to be paid,2,2.98,2.98,0.00
 5 Dec 21, 6 Dec 21,DESI Logo,50962884,Magnet,United States,United States,CA,to be paid,18,125.28,125.28,0.00
 5 Dec 21, 9 Dec 21,DESI plane,50962884,Travel Mug,United States,United States,CA,to be paid,1,23.44,23.44,0.00
