Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
 5 Dec 21, 7 Dec 21,Coma Cluster from the Legacy Imaging Survey,50962884,Chiffon Top,United States,United States,CA,to be paid,1,26.06,26.06,0.00
 5 Dec 21,14 Dec 21,Coma Cluster from the Legacy Imaging Survey,50962884,Scarf,United States,United States,CA,to be paid,1,24.26,24.26,0.00
 5 Dec 21, 7 Dec 21,DESI Logo with text,50962884,Baseball Cap,United States,United States,CA,to be paid,1,21.21,21.21,0.00
 5 Dec 21, 7 Dec 21,DESI Logo with text,50962884,Baseball Cap,United States,United States,CA,to be paid,1,21.21,21.21,0.00
 5 Dec 21, 7 Dec 21,DESI Logo with text,50962884,Baseball Cap,United States,United States,CA,to be paid,1,21.21,21.21,0.00
 5 Dec 21, 9 Dec 21,DESI Logo,50962884,Jigsaw Puzzle,United States,United States,CA,to be paid,1,34.33,34.33,0.00
 5 Dec 21, 9 Dec 21,DESI Logo,50962884,Jigsaw Puzzle,United States,United States,CA,to be paid,1,32.48,32.48,0.00
 5 Dec 21,10 Dec 21,DESI Logo,50962884,Premium T-Shirt,United States,United States,CA,to be paid,1,26.06,26.06,0.00
 5 Dec 21, 9 Dec 21,DESI plane,50962884,Lightweight Sweatshirt,United States,United States,CA,to be paid,1,32.18,32.18,0.00
 5 Dec 21, 9 Dec 21,DESI plane,50962884,Lightweight Sweatshirt,United States,United States,CA,to be paid,1,32.18,32.18,0.00
 5 Dec 21, 9 Dec 21,Desi Coyote,50962884,Mug,United States,United States,CA,to be paid,1,11.70,11.70,0.00
 5 Dec 21, 9 Dec 21,DESI plane,50962884,Mug,United States,United States,CA,to be paid,1,11.70,11.70,0.00
 5 Dec 21, 9 Dec 21,DESI Logo,50962884,Mug,United States,United States,CA,to be paid,7,81.90,81.90,0.00
 3 Dec 21,12 Dec 21,DESI Legacy Imaging Survey Footprint,50863417,Scarf,United States,United States,UT,to be paid,1,20.36,20.36,0.00
 3 Dec 21,12 Dec 21,Coma Cluster from the Legacy Imaging Survey,50863417,Scarf,United States,United States,UT,to be paid,1,20.36,20.36,0.00
 2 Dec 21,12 Dec 21,DESI plane,50785990,Premium T-Shirt,United States,United States,MA,to be paid,1,25.49,25.49,0.00
 2 Dec 21,N/A,DESI plane,50785990,Premium T-Shirt,United States,United States,MA,cancelled,1,25.49,25.49,0.00
 1 Dec 21, 5 Dec 21,Cosmic Cartography,50764211,Jigsaw Puzzle,United States,United States,CA,to be paid,1,27.84,27.84,0.00
 1 Dec 21, 5 Dec 21,Cosmic Cartography,50763792,Jigsaw Puzzle,United States,United States,NC,to be paid,1,32.00,32.00,0.00
