Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
30 Nov 22, 6 Dec 22,Desi Coyote,59805366,Socks,United States,United States,CO,to be paid,1,8.46,8.46,0.00
12 Nov 22,14 Nov 22,Cosmic Cartography,59110472,Art Print,United States,United States,CA,to be paid,1,38.07,38.07,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Dark Sky,58943107,Desk Mat,United States,United States,CA,to be paid,1,26.07,26.07,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Twilight,58943107,Jigsaw Puzzle,United States,United States,CA,to be paid,1,25.01,25.01,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Bright Sky,58943107,Greeting Card,United States,United States,CA,to be paid,2,4.28,4.28,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Twilight,58943107,Greeting Card,United States,United States,CA,to be paid,2,4.28,4.28,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Dark Sky,58943107,Greeting Card,United States,United States,CA,to be paid,2,4.28,4.28,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Monsoon,58943107,Greeting Card,United States,United States,CA,to be paid,2,4.28,4.28,0.00
 7 Nov 22, 9 Nov 22,Focal Plane - Monsoon,58943107,Jigsaw Puzzle,United States,United States,CA,to be paid,1,25.01,25.01,0.00
