Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
24 Mar 23,27 Mar 23,DESI Logo,62329063,Sticker,United States,United States,OH,to be paid,1,1.80,1.80,0.00
24 Mar 23,27 Mar 23,DESI plane,62329063,Sticker,United States,United States,OH,to be paid,1,1.80,1.80,0.00
22 Mar 23,23 Mar 23,Cosmic Cartography,62292483,Photographic Print,United States,United States,CA,to be paid,1,25.75,25.75,0.00
18 Mar 23,20 Mar 23,Cosmic Cartography,62243099,Metal Print,United States,United States,CA,to be paid,1,60.66,60.66,0.00
