Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
13 Aug 23,14 Aug 23,Cosmic Cartography,64332806,Poster,United Kingdom,United Kingdom,ENGLAND,to be paid,1,18.41,18.41,0.00
11 Aug 23,14 Aug 23,DESI Logo,64308901,Mug,United States,United States,MA,to be paid,1,12.59,12.59,0.00
11 Aug 23,14 Aug 23,Desi Coyote - Canis Major,64308901,Mug,United States,United States,MA,to be paid,2,25.18,25.18,0.00
10 Aug 23,12 Aug 23,DESI plane,64298367,Premium T-Shirt,United States,United States,MI,to be paid,1,27.93,27.93,0.00
 4 Aug 23, 8 Aug 23,Desi Coyote - Canis Major,64212264,Sticker,United States,United States,MI,to be paid,1,1.19,1.19,0.00
