Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
12 Aug 22,12 Aug 22,DESI plane,57225080,Sticker,United States,United States,OH,to be paid,1,2.29,2.29,0.00
 5 Aug 22, 8 Aug 22,Desi Coyote - Canis Major,57093950,Sticker,United States,United States,NM,to be paid,1,2.30,2.30,0.00
 5 Aug 22, 8 Aug 22,KP Weather Camera,57093950,Sticker,United States,United States,NM,to be paid,1,2.30,2.30,0.00
