Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
19 Feb 22,22 Feb 22,Desi Coyote,52945024,Glossy Sticker,United States,United States,NY,to be paid,3,7.68,7.68,0.00
17 Feb 22,18 Feb 22,DESI Logo with text,52915646,Premium T-Shirt,United States,United States,OH,to be paid,1,25.71,25.71,0.00
17 Feb 22,18 Feb 22,DESI plane,52915646,Premium T-Shirt,United States,United States,OH,to be paid,1,25.71,25.71,0.00
