Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
20 Jan 22,22 Jan 22,Cosmic Cartography,52379867,Jigsaw Puzzle,United States,Mexico,GUANAJUATO,to be paid,1,31.60,31.60,0.00
20 Jan 22,24 Jan 22,KP Weather Camera,52379867,Mug,United States,Mexico,GUANAJUATO,to be paid,1,13.46,13.46,0.00
17 Jan 22,21 Jan 22,Desi Coyote,52320061,Socks,United States,United States,MA,to be paid,2,25.74,25.74,0.00
17 Jan 22,20 Jan 22,DESI Logo,52320061,Mug,United States,United States,MA,to be paid,1,12.16,12.16,0.00
17 Jan 22,20 Jan 22,Coma Cluster from the Legacy Imaging Survey,52320061,Mouse Pad,United States,United States,MA,to be paid,1,16.82,16.82,0.00
14 Jan 22,19 Jan 22,DESI Logo,52256837,Premium T-Shirt,United States,United States,OH,to be paid,1,20.57,20.57,0.00
14 Jan 22,18 Jan 22,DESI Logo,52256837,Mug,United States,United States,OH,to be paid,2,23.08,23.08,0.00
 3 Jan 22, 4 Jan 22,DESI plane,52024514,Lightweight Sweatshirt,United States,United States,AZ,to be paid,1,25.64,25.64,0.00
