Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
28 Sep 23,29 Sep 23,DESI plane,65022657,Sticker,United States,United States,AZ,to be paid,4,4.84,4.84,0.00
28 Sep 23,29 Sep 23,DESI Logo,65022657,Sticker,United States,United States,AZ,to be paid,4,4.84,4.84,0.00
28 Sep 23,29 Sep 23,Desi Coyote - Canis Major,65022657,Sticker,United States,United States,AZ,to be paid,4,4.84,4.84,0.00
28 Sep 23,29 Sep 23,M31 Focal Plane,65022657,Sticker,United States,United States,AZ,to be paid,6,7.26,7.26,0.00
 9 Sep 23,11 Sep 23,DESI plane,64782295,Transparent Sticker,United Kingdom,United Kingdom,Dumfries and Galloway,to be paid,1,1.97,1.97,0.00
 3 Sep 23, 6 Sep 23,DESI Logo,64683853,Sticker,United States,United States,MI,to be paid,1,1.19,1.19,0.00
 3 Sep 23, 6 Sep 23,Desi Coyote - Canis Major,64683853,Sticker,United States,United States,MI,to be paid,1,1.19,1.19,0.00
