Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
19 Dec 22,21 Dec 22,DESI Logo with text,60791007,Baseball Cap,United States,United States,IN,to be paid,2,41.80,41.80,0.00
19 Dec 22,21 Dec 22,DESI Logo,60791007,Premium T-Shirt,United States,United States,IN,to be paid,1,28.24,28.24,0.00
 7 Dec 22, 8 Dec 22,DESI Logo,60203972,Transparent Sticker,United States,United States,FL,to be paid,1,1.42,1.42,0.00
