Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
28 Feb 23, 2 Mar 23,DESI Logo,61940134,Glossy Sticker,United States,United States,CA,to be paid,1,2.11,2.11,0.00
16 Feb 23,17 Feb 23,Desi Coyote,61756869,Transparent Sticker,United States,United States,OR,to be paid,1,2.03,2.03,0.00
16 Feb 23,17 Feb 23,DESI Logo,61756869,Transparent Sticker,United States,United States,OR,to be paid,2,4.06,4.06,0.00
16 Feb 23,17 Feb 23,Desi Coyote - Canis Major,61756869,Transparent Sticker,United States,United States,OR,to be paid,1,2.03,2.03,0.00
16 Feb 23,17 Feb 23,DESI Logo with text,61756869,Transparent Sticker,United States,United States,OR,to be paid,1,2.03,2.03,0.00
