Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
28 Oct 22,31 Oct 22,DESI plane,58762057,Sticker,United Kingdom,Switzerland,THURGAU,to be paid,1,0.93,0.93,0.00
24 Oct 22,26 Oct 22,DESI Logo with text,58646413,Lightweight Sweatshirt,Netherlands,Germany,BY,to be paid,1,19.71,19.71,0.00
24 Oct 22,26 Oct 22,Coma Cluster from the Legacy Imaging Survey,58646413,Mug,Germany,Germany,BY,to be paid,1,8.34,8.34,0.00
16 Oct 22,18 Oct 22,Coma Cluster from the Legacy Imaging Survey,58503285,Mug,United States,United States,MA,to be paid,1,15.74,15.74,0.00
12 Oct 22,14 Oct 22,Desi Coyote,58411895,Socks,United States,United States,WA,to be paid,1,11.78,11.78,0.00
11 Oct 22,12 Oct 22,Coma Cluster from the Legacy Imaging Survey,58384456,Mug,United States,United States,CA,to be paid,1,12.87,12.87,0.00
11 Oct 22,12 Oct 22,DESI Logo,58384456,Sticker,United States,United States,CA,to be paid,1,1.75,1.75,0.00
11 Oct 22,12 Oct 22,DESI plane,58384456,Sticker,United States,United States,CA,to be paid,1,1.75,1.75,0.00
11 Oct 22,12 Oct 22,M31 Focal Plane,58384456,Sticker,United States,United States,CA,to be paid,1,1.75,1.75,0.00
11 Oct 22,12 Oct 22,Desi Coyote - Canis Major,58384456,Sticker,United States,United States,CA,to be paid,1,1.75,1.75,0.00
 2 Oct 22, 3 Oct 22,DESI Logo,58243058,Sticker,United States,United States,MA,to be paid,1,2.27,2.27,0.00
 2 Oct 22, 4 Oct 22,DESI Logo,58243058,Mug,United States,United States,MA,to be paid,1,15.74,15.74,0.00
